Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
East,06H,Cambridgeshire & Peterborough,D81058,Harston Surgery (D81058),7527,0.187,0,0,14387,0.0,,0.0
East,06H,Cambridgeshire & Peterborough,D81059,Ramsey Health Centre (D81059),7299,0.583,11256,3,15998,0.7040000000000001,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81060,Moat House Surgery (D81060),7380,0.677,10777,0,15282,0.705,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81061,George Clare Surgery (D81061),12087,0.7609999999999999,21661,0,23310,0.929,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81062,Haddenham Surgery (D81062),7487,0.422,9099,238,15494,0.5870000000000001,0.026,0.015
East,06H,Cambridgeshire & Peterborough,D81064,Mercheford House (D81064),6473,0.852,12443,877,12732,0.977,0.07,0.069
East,06H,Cambridgeshire & Peterborough,D81065,Nightingale Medical Centre (D81065),6228,0.773,8564,0,8565,1.0,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81066,Queen Edith Medical Practice (D81066),9629,0.682,8747,771,8828,0.991,0.088,0.087
East,06H,Cambridgeshire & Peterborough,D81070,Woodlands Surgery (D81070),11640,0.525,6870,835,6907,0.995,0.122,0.121
East,06H,Cambridgeshire & Peterborough,D81073,Westwood Clinic (D81073),5715,0.7709999999999999,8989,0,8998,0.999,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81078,Maple Surgery Bar Hill Health Centre (D81078),3767,0.8,4177,309,4200,0.995,0.074,0.074
East,06H,Cambridgeshire & Peterborough,D81081,Great Staughton Surgery (D81081),4755,0.461,3729,20,7669,0.486,0.005,0.003
East,06H,Cambridgeshire & Peterborough,D81082,Almond Road Surgery (D81082),7592,0.807,12648,1,12848,0.984,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81084,Willingham Medical Practice (D81084),11098,0.494,8469,0,12959,0.654,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81085,Papworth Surgery (D81085),7443,0.451,7899,1658,12599,0.627,0.21,0.132
East,06H,Cambridgeshire & Peterborough,D81086,East Barnwell Health Centre (D81086),7695,0.7509999999999999,11563,3799,11639,0.993,0.3289999999999999,0.326
East,06H,Cambridgeshire & Peterborough,D81602,Cottenham Surgery (D81602),3804,0.831,4915,167,4959,0.991,0.034,0.034
East,06H,Cambridgeshire & Peterborough,D81603,Riverside Practice (D81603),7659,0.7609999999999999,14568,1346,15018,0.97,0.092,0.09
East,06H,Cambridgeshire & Peterborough,D81606,Riverport Medical Practice (D81606),13682,0.67,18046,62,20925,0.862,0.003,0.003
East,06H,Cambridgeshire & Peterborough,D81607,Swavesey Surgery (D81607),3383,0.186,1194,0,4646,0.257,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81611,Fenland Group Practice (D81611),13165,0.2789999999999999,8063,874,26068,0.309,0.108,0.034
East,06H,Cambridgeshire & Peterborough,D81612,Milton Surgery (D81612),5125,0.695,7686,607,8575,0.8959999999999999,0.079,0.071
East,06H,Cambridgeshire & Peterborough,D81615,Thorpe Road (D81615),10202,0.74,12532,25,12546,0.999,0.002,0.002
East,06H,Cambridgeshire & Peterborough,D81618,Ailsworth Medical Centre (D81618),4134,0.6920000000000001,5583,0,5885,0.949,0.0,0.0
East,06H,Cambridgeshire & Peterborough,D81622,Trinity Surgery (D81622),12348,0.789,19103,125,21525,0.887,0.0069999999999999,0.006
East,06H,Cambridgeshire & Peterborough,D81625,Thistlemoor Medical Centre (D81625),29953,0.672,23545,16420,23618,0.997,0.6970000000000001,0.695
East,06H,Cambridgeshire & Peterborough,D81629,Willow Tree Surgery (D81629),5577,0.718,8705,134,8716,0.999,0.015,0.015
East,06H,Cambridgeshire & Peterborough,D81630,Hampton Medical Centre (D81630),10984,0.7040000000000001,9787,619,9837,0.995,0.063,0.063
East,06H,Cambridgeshire & Peterborough,D81631,Central Medical Centre (D81631),14808,0.585,11663,12,11699,0.997,0.001,0.001
East,06H,Cambridgeshire & Peterborough,D81633,Acorn Surgery (D81633),10674,0.825,16607,6619,18064,0.919,0.3989999999999999,0.366
East,06H,Cambridgeshire & Peterborough,D81637,Monkfield Medical Practice (D81637),12616,0.5920000000000001,9818,374,9874,0.994,0.038,0.038
East,06H,Cambridgeshire & Peterborough,D81645,The Grange Medical Centre (D81645),2870,0.68,3583,0,3596,0.996,0.0,0.0
East,26A,Norfolk & Waveney,D82001,Holt Medical Practice (D82001),14338,0.298,11177,0,31917,0.35,0.0,0.0
East,26A,Norfolk & Waveney,D82002,Grove Surgery (D82002),13229,0.7659999999999999,21613,179,21766,0.993,0.008,0.008
East,26A,Norfolk & Waveney,D82003,Beaches Medical Centre (D82003),24927,0.833,42477,327,42754,0.994,0.008,0.008
East,26A,Norfolk & Waveney,D82004,Cromer Group Practice (D82004),12249,0.628,23714,0,32802,0.723,0.0,0.0
East,26A,Norfolk & Waveney,D82005,Sheringham Medical Practice (D82005),9455,0.76,19817,0,22911,0.865,0.0,0.0
East,26A,Norfolk & Waveney,D82006,Chet Valley Medical Practice (D82006),9086,0.4679999999999999,9094,6,21303,0.427,0.001,0.0
East,26A,Norfolk & Waveney,D82007,East Norfolk Medical Practice (D82007),25056,0.773,42865,133,42886,1.0,0.003,0.003
East,26A,Norfolk & Waveney,D82008,St Stephens Gate Medical Partnership (D82008),18461,0.77,26576,176,26613,0.999,0.0069999999999999,0.0069999999999999
East,26A,Norfolk & Waveney,D82009,Stalham Staithe Surgery (D82009),7521,0.4029999999999999,8669,0,21078,0.411,0.0,0.0
East,26A,Norfolk & Waveney,D82010,Grimston Medical Centre (D82010),5205,0.206,0,0,12729,0.0,,0.0
East,26A,Norfolk & Waveney,D82011,Castle Partnership (D82011),17519,0.8959999999999999,25402,63,25424,0.999,0.002,0.002
East,26A,Norfolk & Waveney,D82012,Magdalen Medical Practice (D82012),14041,0.763,18000,75,18095,0.995,0.004,0.004
East,26A,Norfolk & Waveney,D82013,Old Catton Medical Practice (D82013),7719,0.899,10184,903,10239,0.995,0.089,0.088
East,26A,Norfolk & Waveney,D82015,Bridge Street Surgery (D82015),8573,0.55,13511,0,21208,0.637,0.0,0.0
East,26A,Norfolk & Waveney,D82016,Market Surgery (D82016),10108,0.503,12093,0,21453,0.564,0.0,0.0
East,26A,Norfolk & Waveney,D82017,Trinity & Bowthorpe Medical Practice (D82017),11070,0.68,15702,0,15848,0.991,0.0,0.0
East,26A,Norfolk & Waveney,D82018,Hellesdon Medical Practice (D82018),10883,0.778,13219,0,13311,0.993,0.0,0.0
East,26A,Norfolk & Waveney,D82019,The Millwood Partnership (D82019),19895,0.8390000000000001,31572,19,31630,0.998,0.001,0.001
East,26A,Norfolk & Waveney,D82020,Orchard Surgery (D82020),11036,0.826,20753,771,20846,0.996,0.037,0.037
East,26A,Norfolk & Waveney,D82022,Lawns Practice (D82022),7049,0.486,7759,0,12255,0.633,0.0,0.0
East,26A,Norfolk & Waveney,D82023,Roundwell Medical Centre (D82023),14208,0.805,18890,480,19585,0.965,0.025,0.025
East,26A,Norfolk & Waveney,D82024,Taverham Surgery (D82024),8268,0.809,11870,356,12212,0.972,0.03,0.0289999999999999
East,26A,Norfolk & Waveney,D82025,Hoveton & Wroxham Medical Centre (D82025),9874,0.49,15443,0,24899,0.62,0.0,0.0
East,26A,Norfolk & Waveney,D82026,Lakenham Surgery (D82026),8620,0.792,15154,0,15179,0.998,0.0,0.0
East,26A,Norfolk & Waveney,D82027,Heacham Group Practice (D82027),7675,0.8390000000000001,21980,0,23258,0.945,0.0,0.0
East,26A,Norfolk & Waveney,D82028,Ludham And Stalham Green Surgeries (D82028),5905,0.33,4147,0,15063,0.275,0.0,0.0
East,26A,Norfolk & Waveney,D82029,Drayton Medical Practice (D82029),18454,0.725,33657,7417,41735,0.8059999999999999,0.22,0.178
East,26A,Norfolk & Waveney,D82030,Reepham & Aylsham Medical Practice (D82030),9099,0.5479999999999999,12714,0,18058,0.7040000000000001,0.0,0.0
East,26A,Norfolk & Waveney,D82031,Parish Fields Practice (D82031),8366,0.507,9752,4,15409,0.633,0.0,0.0
East,26A,Norfolk & Waveney,D82032,Brundall Medical Partnership (D82032),7960,0.481,11394,0,19641,0.58,0.0,0.0
East,26A,Norfolk & Waveney,D82034,Attleborough Surgery (D82034),18629,0.536,22243,1,35576,0.625,0.0,0.0
East,26A,Norfolk & Waveney,D82035,Upwell Health Centre (D82035),10955,0.397,12264,0,29168,0.42,0.0,0.0
East,26A,Norfolk & Waveney,D82036,Old Mill And Millgates Medical Practice (D82036),8855,0.364,6983,0,17978,0.3879999999999999,0.0,0.0
East,26A,Norfolk & Waveney,D82037,Long Stratton Medical Partnership (D82037),11332,0.422,9836,512,20049,0.491,0.052,0.026
East,26A,Norfolk & Waveney,D82038,Wells Health Centre (D82038),3277,0.5920000000000001,5197,5,7030,0.7390000000000001,0.001,0.001
East,26A,Norfolk & Waveney,D82039,Mattishall Surgery (D82039),8654,0.26,0,0,16496,0.0,,0.0
East,26A,Norfolk & Waveney,D82040,Wensum Valley Medical Practice (D82040),12725,0.753,21168,2062,21284,0.995,0.0969999999999999,0.0969999999999999
East,26A,Norfolk & Waveney,D82041,School Lane Surgery (D82041),11508,0.778,22497,2191,22656,0.993,0.0969999999999999,0.0969999999999999
East,26A,Norfolk & Waveney,D82042,E Harling & Kenninghall Medical Practice (D82042),8726,0.254,0,0,16559,0.0,,0.0
East,26A,Norfolk & Waveney,D82043,Watlington Medical Centre (D82043),6832,0.372,1038,0,15970,0.065,0.0,0.0
East,26A,Norfolk & Waveney,D82044,Vida Healthcare (D82044),31219,0.8240000000000001,73127,0,75929,0.963,0.0,0.0
East,26A,Norfolk & Waveney,D82045,Wymondham Medical Partnership (D82045),19382,0.87,29817,1032,29871,0.998,0.035,0.035
East,26A,Norfolk & Waveney,D82046,Church Hill Surgery (D82046),4480,0.083,559,0,11373,0.049,0.0,0.0
East,26A,Norfolk & Waveney,D82047,Oak Street Medical Pract. (D82047),7588,0.789,11194,0,11201,0.999,0.0,0.0
East,26A,Norfolk & Waveney,D82048,Thorpewood Medical Group (D82048),12177,0.759,20798,3585,20852,0.997,0.172,0.172
East,26A,Norfolk & Waveney,D82049,Litcham Health Centre (D82049),3622,0.107,0,0,13803,0.0,,0.0
East,26A,Norfolk & Waveney,D82050,Theatre Royal Surgery (D82050),8854,0.805,17964,0,18279,0.983,0.0,0.0
East,26A,Norfolk & Waveney,D82051,St James Medical Practice (D82051),17273,0.755,34733,278,34914,0.995,0.008,0.008
East,26A,Norfolk & Waveney,D82053,Mundesley Medical Centre (D82053),5842,0.56,10088,0,15946,0.633,0.0,0.0
East,26A,Norfolk & Waveney,D82054,Fakenham Medical Practice (D82054),15595,0.55,24839,0,35257,0.705,0.0,0.0
East,26A,Norfolk & Waveney,D82056,Elmham Surgery (D82056),9718,0.118,1791,0,23332,0.077,0.0,0.0
East,26A,Norfolk & Waveney,D82057,Campingland Surgery (D82057),7556,0.503,10081,5,19331,0.521,0.0,0.0
East,26A,Norfolk & Waveney,D82058,Coastal Villages Practice (D82058),17605,0.789,31277,2393,37560,0.833,0.077,0.064
East,26A,Norfolk & Waveney,D82059,Birchwood Medical Practice (D82059),11896,0.6609999999999999,19873,0,28398,0.7,0.0,0.0
East,26A,Norfolk & Waveney,D82060,Bacon Road Medical Centre (D82060),4775,0.8109999999999999,8377,1033,8414,0.996,0.123,0.123
East,26A,Norfolk & Waveney,D82062,Coltishall Medical Practice (D82062),8904,0.614,13611,3,18539,0.7340000000000001,0.0,0.0
East,26A,Norfolk & Waveney,D82063,Watton Medical Practice (D82063),14305,0.848,29467,0,29679,0.993,0.0,0.0
East,26A,Norfolk & Waveney,D82064,Humbleyard Practice (D82064),22115,0.6659999999999999,28302,3,33748,0.8390000000000001,0.0,0.0
East,26A,Norfolk & Waveney,D82065,Manor Farm Medical Centre (D82065),7592,0.479,8757,8,20472,0.428,0.001,0.0
East,26A,Norfolk & Waveney,D82066,Paston Surgery (D82066),6739,0.612,12027,0,17421,0.69,0.0,0.0
East,26A,Norfolk & Waveney,D82067,The Park Surgery (D82067),14080,0.7979999999999999,19811,1379,19813,1.0,0.07,0.07
East,26A,Norfolk & Waveney,D82068,Howdale Surgery (D82068),7760,0.426,8517,3,18720,0.455,0.0,0.0
East,26A,Norfolk & Waveney,D82070,Great Massingham Surgery (D82070),6421,0.192,972,0,13935,0.07,0.0,0.0
East,26A,Norfolk & Waveney,D82071,East Norwich Medical Partnership (D82071),15118,1.0,23521,897,23548,0.999,0.038,0.038
East,26A,Norfolk & Waveney,D82072,Burnham Surgery (D82072),4109,0.216,1532,403,13120,0.1169999999999999,0.263,0.031
East,26A,Norfolk & Waveney,D82073,The Lionwood Medical Practice (D82073),13321,0.769,16823,2258,16914,0.995,0.134,0.133
East,26A,Norfolk & Waveney,D82076,Lawson Road Surgery (D82076),8397,0.838,15075,0,15089,0.999,0.0,0.0
East,26A,Norfolk & Waveney,D82078,Heathgate Medical Practice (D82078),9826,0.429,8889,0,18684,0.476,0.0,0.0
East,26A,Norfolk & Waveney,D82079,Feltwell Surgery (D82079),5534,0.193,0,0,13391,0.0,,0.0
East,26A,Norfolk & Waveney,D82080,Blofield Surgery (D82080),8107,0.13,2874,0,15661,0.184,0.0,0.0
East,26A,Norfolk & Waveney,D82084,Harleston Medical Practice (D82084),7952,0.537,12365,0,18688,0.662,0.0,0.0
East,26A,Norfolk & Waveney,D82085,Hingham Surgery (D82085),7167,0.3879999999999999,7823,0,14294,0.547,0.0,0.0
East,26A,Norfolk & Waveney,D82087,Prospect Medical Practice (D82087),6860,0.7240000000000001,10727,0,10778,0.995,0.0,0.0
East,26A,Norfolk & Waveney,D82088,Uea Medical Centre (D82088),20736,0.512,4670,12,4712,0.991,0.003,0.003
East,26A,Norfolk & Waveney,D82096,Woodcock Rd Surgery (D82096),8297,0.7759999999999999,10173,0,10192,0.998,0.0,0.0
East,26A,Norfolk & Waveney,D82099,Southgates Surgical & Medical Centre (D82099),17178,0.613,21013,26,24357,0.863,0.001,0.001
East,26A,Norfolk & Waveney,D82100,Shipdham Surgery (D82100),4407,0.104,1281,0,10997,0.1159999999999999,0.0,0.0
East,26A,Norfolk & Waveney,D82104,Acle Medical Partnership (D82104),9498,0.38,7349,7,23599,0.311,0.001,0.0
East,26A,Norfolk & Waveney,D82105,St Clements Surgery (D82105),7205,0.4479999999999999,9680,0,16855,0.574,0.0,0.0
East,26A,Norfolk & Waveney,D82106,West Pottergate Med Prac (D82106),5346,0.718,6470,188,6513,0.993,0.0289999999999999,0.0289999999999999
East,26A,Norfolk & Waveney,D82600,Fleggburgh Surgery (D82600),1784,0.385,979,0,4468,0.2189999999999999,0.0,0.0
East,26A,Norfolk & Waveney,D82604,Boughton Surgery (D82604),3307,0.055,232,0,6752,0.034,0.0,0.0
East,26A,Norfolk & Waveney,D82618,The Woottons Surgery (D82618),6145,0.8440000000000001,8519,12,8645,0.985,0.001,0.001
East,26A,Norfolk & Waveney,D82621,Plowright Medical Centre (D82621),6199,0.2319999999999999,4005,0,16566,0.242,0.0,0.0
East,26A,Norfolk & Waveney,D82624,Windmill Surgery (D82624),7468,0.604,6605,21,10331,0.639,0.003,0.002
East,26A,Norfolk & Waveney,D82628,Aldborough Surgery (D82628),3800,0.25,1993,0,6159,0.324,0.0,0.0
East,06L,Ipswich & East Suffolk,D83001,Constable Country Rural Medical Practice (D83001),10533,0.847,20588,1193,21031,0.979,0.0579999999999999,0.057
East,26A,Norfolk & Waveney,D83002,Alexandra & Crestview Surgeries (D83002),14944,0.813,25199,2951,25229,0.999,0.1169999999999999,0.1169999999999999
East,07K,West Suffolk,D83003,Wickhambrook Surgery (D83003),5257,0.175,0,0,11546,0.0,,0.0
East,06L,Ipswich & East Suffolk,D83004,Felixstowe Road Medical Practice (D83004),10708,0.838,15983,0,16001,0.999,0.0,0.0
East,07K,West Suffolk,D83005,Angel Hill Surgery (D83005),14126,0.619,25271,256,32037,0.789,0.01,0.008
East,06L,Ipswich & East Suffolk,D83006,Bildeston Health Centre (D83006),7043,0.184,2947,0,14311,0.206,0.0,0.0
East,06L,Ipswich & East Suffolk,D83007,Ixworth Surgery (D83007),9089,0.1889999999999999,0,0,17963,0.0,,0.0
East,06L,Ipswich & East Suffolk,D83008,Burlington Primary Care (D83008),17744,0.674,29203,450,29294,0.997,0.015,0.015
East,26A,Norfolk & Waveney,D83009,Beccles Medical Centre (D83009),19632,0.7829999999999999,30455,233,31104,0.979,0.008,0.0069999999999999
East,26A,Norfolk & Waveney,D83010,Longshore Surgeries (D83010),6402,0.659,12036,1866,16848,0.7140000000000001,0.155,0.111
East,26A,Norfolk & Waveney,D83011,Bridge Road Surgery (D83011),12275,0.775,19881,1120,20001,0.994,0.0559999999999999,0.0559999999999999
East,07K,West Suffolk,D83012,Unity Healthcare (D83012),17787,0.718,25975,0,29373,0.884,0.0,0.0
East,07K,West Suffolk,D83013,The Guildhall And Barrow Surgery (D83013),12838,0.6709999999999999,23034,87,29927,0.77,0.004,0.003
East,07K,West Suffolk,D83014,The Long Melford Practice (D83014),8961,0.741,17672,2001,19489,0.907,0.113,0.103
East,06L,Ipswich & East Suffolk,D83015,Howard House Surgery (D83015),8531,0.8540000000000001,14662,1,15150,0.968,0.0,0.0
East,26A,Norfolk & Waveney,D83016,Victoria Road Surgery (D83016),10837,0.815,15869,52,16004,0.992,0.003,0.003
East,06L,Ipswich & East Suffolk,D83017,Needham Market Country Practice (D83017),14072,0.542,20564,3548,30762,0.6679999999999999,0.173,0.115
East,07K,West Suffolk,D83018,Market Cross Surgery (D83018),12285,0.498,16079,0,23053,0.6970000000000001,0.0,0.0
East,06L,Ipswich & East Suffolk,D83019,Mendlesham Medical Group (D83019),7617,0.144,1191,2,17900,0.067,0.002,0.0
East,06L,Ipswich & East Suffolk,D83020,The Holbrook And Shotley Practice (D83020),8130,0.068,975,0,18641,0.052,0.0,0.0
East,07K,West Suffolk,D83021,Haverhill Family Practice (D83021),17518,0.898,30980,2581,31011,0.999,0.083,0.083
East,26A,Norfolk & Waveney,D83022,Sole Bay H/C (D83022),5377,0.642,8332,125,10842,0.768,0.015,0.012
East,26A,Norfolk & Waveney,D83023,High Street Surgery (D83023),12466,0.7929999999999999,23361,507,23427,0.997,0.022,0.022
East,06L,Ipswich & East Suffolk,D83024,Ivry Street Medical Practice (D83024),12844,0.738,16975,5,17025,0.997,0.0,0.0
East,06L,Ipswich & East Suffolk,D83026,Framlingham Surgery (D83026),9792,0.421,9426,0,18321,0.514,0.0,0.0
East,07K,West Suffolk,D83027,Orchard House Surgery (D83027),12037,0.535,14035,6,20462,0.6859999999999999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83028,Leiston Surgery (D83028),9395,0.62,14331,9,19248,0.745,0.001,0.0
East,07K,West Suffolk,D83029,The Rookery Medical Centre (D83029),13911,0.557,20158,1,27629,0.73,0.0,0.0
East,26A,Norfolk & Waveney,D83030,Kirkley Mill Health Centre (D83030),6812,0.961,12766,194,12788,0.998,0.015,0.015
East,07K,West Suffolk,D83033,Botesdale Health Centre (D83033),9751,0.135,0,0,19667,0.0,,0.0
East,26A,Norfolk & Waveney,D83034,Bungay Medical Centre (D83034),11532,0.622,20277,620,26326,0.77,0.031,0.024
East,26A,Norfolk & Waveney,D83035,Cutlers Hill Surgery (D83035),10532,0.584,15166,0,24465,0.62,0.0,0.0
East,06L,Ipswich & East Suffolk,D83037,Hadleigh Boxford Group Practice (D83037),16114,0.506,17927,0,31875,0.562,0.0,0.0
East,07K,West Suffolk,D83038,Mount Farm Surgery (D83038),15111,0.747,25687,178,26095,0.984,0.0069999999999999,0.0069999999999999
East,07K,West Suffolk,D83040,Victoria Surgery (D83040),10888,0.617,17382,199,22052,0.7879999999999999,0.011,0.009
East,06L,Ipswich & East Suffolk,D83041,Debenham Group Practice (D83041),9336,0.319,5688,0,17083,0.3329999999999999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83043,Eye Health Centre (D83043),6226,0.377,5228,0,11814,0.4429999999999999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83044,Stowhealth (D83044),21752,0.6559999999999999,27791,147,38839,0.716,0.005,0.004
East,07K,West Suffolk,D83045,Lakenheath Surgery (D83045),5376,0.544,7930,0,10506,0.755,0.0,0.0
East,06L,Ipswich & East Suffolk,D83046,Two Rivers Medical Centre (D83046),28775,0.792,34504,15,34518,1.0,0.0,0.0
East,26A,Norfolk & Waveney,D83047,Rosedale Surgery (D83047),15568,0.873,24185,343,24377,0.992,0.0139999999999999,0.0139999999999999
East,06L,Ipswich & East Suffolk,D83048,Grove Medical Centre (D83048),16609,0.863,38476,6592,38495,1.0,0.171,0.171
East,06L,Ipswich & East Suffolk,D83049,Little St John Street Surgery (D83049),7020,0.636,11253,0,13932,0.8079999999999999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83050,Cardinal Medical Practice (D83050),29572,0.784,54049,3003,54248,0.996,0.0559999999999999,0.055
East,06L,Ipswich & East Suffolk,D83051,The Derby Road Practice (D83051),18250,0.81,25019,0,25042,0.999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83053,Saxmundham Health Centre (D83053),9449,0.422,11597,0,20868,0.556,0.0,0.0
East,06L,Ipswich & East Suffolk,D83054,The Peninsula Practice (D83054),6732,0.413,7496,6,15368,0.488,0.001,0.0
East,07K,West Suffolk,D83055,Woolpit Health Centre (D83055),15548,0.309,0,0,33140,0.0,,0.0
East,06L,Ipswich & East Suffolk,D83056,Hawthorn Drive Surgery (D83056),10144,0.784,15477,0,15513,0.998,0.0,0.0
East,06L,Ipswich & East Suffolk,D83057,Framfield House Surgery (D83057),13827,0.7240000000000001,18656,40,27718,0.6729999999999999,0.002,0.001
East,06L,Ipswich & East Suffolk,D83059,Barrack Lane Medical Centre (D83059),20101,0.726,25839,0,25999,0.994,0.0,0.0
East,07K,West Suffolk,D83060,Hardwicke House Group Practice (D83060),24336,0.695,42739,3240,54194,0.789,0.076,0.06
East,06L,Ipswich & East Suffolk,D83061,Wickham Market Medical Centre (D83061),9843,0.521,13411,30,20808,0.645,0.002,0.001
East,07K,West Suffolk,D83062,Forest Surgery (D83062),7613,0.785,18708,0,18748,0.998,0.0,0.0
East,07K,West Suffolk,D83064,Glemsford Surgery (D83064),4681,0.804,6488,6,8271,0.784,0.001,0.001
East,07K,West Suffolk,D83067,Oakfield Surgery (D83067),7397,0.46,6517,0,11053,0.59,0.0,0.0
East,06L,Ipswich & East Suffolk,D83069,Fressingfield Medical Centre (D83069),6093,0.119,1144,0,13724,0.083,0.0,0.0
East,07K,West Suffolk,D83070,Stanton Surgery (D83070),5325,0.626,1150,0,10948,0.105,0.0,0.0
East,06L,Ipswich & East Suffolk,D83073,Dr Solway & Dr Mallick Practice (D83073),6182,0.648,6090,0,6105,0.998,0.0,0.0
East,06L,Ipswich & East Suffolk,D83074,Orchard Medical Practice (D83074),14176,0.687,15357,0,15401,0.997,0.0,0.0
East,07K,West Suffolk,D83075,Siam Surgery (D83075),11215,0.918,23215,1790,23220,1.0,0.077,0.077
East,07K,West Suffolk,D83076,Clare Guildhall Surgery (D83076),5319,0.8320000000000001,6918,24,7021,0.985,0.003,0.003
East,07K,West Suffolk,D83078,The Reynard Surgery (D83078),9977,0.672,10230,71,14762,0.693,0.0069999999999999,0.005
East,06L,Ipswich & East Suffolk,D83079,Combs Ford Surgery (D83079),9253,0.645,14328,2,17094,0.838,0.0,0.0
East,06L,Ipswich & East Suffolk,D83080,Martlesham Surgery (D83080),6065,0.764,8814,0,9205,0.958,0.0,0.0
East,06L,Ipswich & East Suffolk,D83081,Haven Health (D83081),8583,0.862,12783,0,12800,0.999,0.0,0.0
East,06L,Ipswich & East Suffolk,D83084,The Birches Medical Centre (D83084),6921,0.728,8356,0,8364,0.999,0.0,0.0
East,26A,Norfolk & Waveney,D83608,Andaman Surgery (D83608),6553,0.841,11918,40,11991,0.994,0.003,0.003
East,07K,West Suffolk,D83610,Swan Surgery (D83610),12656,0.6509999999999999,16231,1,20435,0.794,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81001,Dr I Saleh'S Practice (E81001),3496,0.711,4001,0,5100,0.785,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81002,Greensand Surgery (Ampthill) (E81002),9919,0.841,14225,2622,14256,0.998,0.184,0.184
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81003,Dr Jl Henderson & Partners (E81003),19545,0.74,28720,2187,31920,0.9,0.076,0.069
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81004,Salisbury House Surgery (E81004),11711,0.784,17592,540,19675,0.894,0.031,0.027
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81005,Bell House Medical Centre (E81005),10444,0.738,12146,46,12255,0.991,0.004,0.004
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81006,Stopsley Village Practice (E81006),9173,0.76,9999,112,10158,0.984,0.011,0.011
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81007,Harrold Medical Practice (E81007),6500,0.214,0,0,11856,0.0,,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81008,Wheatfield Surgery (E81008),12555,0.7,22435,5024,22658,0.99,0.2239999999999999,0.222
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81009,West Street Surgery (E81009),12160,0.7879999999999999,16142,12,16244,0.994,0.001,0.001
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81010,Dr Whm Matta'S Practice (E81010),9133,0.741,8418,13,10084,0.835,0.002,0.001
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81012,Greensands (Potton) (E81012),12652,0.662,16616,71,20260,0.82,0.004,0.004
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81013,Castle Medical Group Practice (E81013),16969,0.6629999999999999,14083,1943,14112,0.998,0.138,0.138
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81014,Priory Gardens Surgery (E81014),17848,0.823,18526,1954,18590,0.997,0.105,0.105
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81015,Flitwick Surgery (E81015),14197,0.7240000000000001,19792,6,21674,0.913,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81016,Lister House Surgery (E81016),6283,0.77,6224,0,6252,0.996,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81018,Woodland Avenue Practice (E81018),11656,0.838,15463,3,15556,0.994,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81019,London Road Health Centre (E81019),21009,0.772,23591,27,23672,0.997,0.001,0.001
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81021,Queens Park Health Centre (E81021),12832,0.7390000000000001,14737,2,14855,0.992,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81022,Larksfield And Arlesey Medical Practice (E81022),19316,0.94,17601,260,17676,0.996,0.015,0.015
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81024,Sharnbrook Surgery (E81024),5897,0.305,5038,0,12877,0.391,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81025,The Oakley Surgery (E81025),7371,0.737,6484,0,6594,0.983,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81026,Larkside Practice (E81026),9857,0.792,10355,0,10413,0.994,0.0,0.0
East,M1J4Y,"Bedfordshire, Luton & Milton Keynes",E81027,Houghton Regis Medical Centre (E81027),12447,0.667,12205,0,12266,0.995,0.0,0.0
