Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,02Y,East Riding of Yorkshire,B81037,The Park Surgery (B81037),14846,50.4%,19338,1,33077,58.5%,0.0%,0.0%
North East and Yorkshire,03F,Hull,B81038,The Oaks Medical Centre (B81038),7778,80.2%,18487,3729,19002,97.3%,20.2%,19.6%
North East and Yorkshire,03H,North East Lincolnshire,B81039,The Roxton Practice (B81039),33942,72.5%,51230,1228,63884,80.2%,2.4%,1.9%
North East and Yorkshire,03F,Hull,B81040,Dr Jad Weir & Partners (B81040),14790,86.1%,31942,342,32199,99.2%,1.1%,1.1%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81041,Gilberdyke Health Centre (B81041),6226,47.6%,8598,30,13866,62.0%,0.3%,0.2%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81042,Manor Road Surgery (B81042),13216,61.1%,22887,863,28187,81.2%,3.8%,3.1%
North East and Yorkshire,03K,North Lincolnshire,B81043,South Axholme Practice (B81043),14916,44.4%,18270,11,43128,42.4%,0.1%,0.0%
North East and Yorkshire,03K,North Lincolnshire,B81045,Ashby Turn Primary Care Partners (B81045),12552,79.1%,30439,965,30579,99.5%,3.2%,3.2%
North East and Yorkshire,03F,Hull,B81046,The Bridge Group Practice (B81046),8497,81.2%,19357,1863,19572,98.9%,9.6%,9.5%
North East and Yorkshire,03F,Hull,B81047,Wolseley Medical Centre (B81047),7463,79.3%,12548,300,12970,96.7%,2.4%,2.3%
North East and Yorkshire,03F,Hull,B81048,Modality Partnership (Hull) (B81048),56567,73.9%,89019,13737,89054,100.0%,15.4%,15.4%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81051,Old Fire Station Surgery (B81051),10155,79.7%,16669,2299,17147,97.2%,13.8%,13.4%
North East and Yorkshire,03F,Hull,B81052,Princes Medical Centre (B81052),7285,71.4%,8165,2002,8250,99.0%,24.5%,24.3%
North East and Yorkshire,03F,Hull,B81054,Clifton House Medical Centre (B81054),8367,77.0%,21053,1174,21074,99.9%,5.6%,5.6%
North East and Yorkshire,03H,North East Lincolnshire,B81055,The Lynton Practice (B81055),4432,82.7%,10134,593,10248,98.9%,5.9%,5.8%
North East and Yorkshire,03F,Hull,B81058,Sydenham Group Practice (B81058),7940,72.5%,15097,3262,15145,99.7%,21.6%,21.5%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81060,"Field House Surgery, Bridlington (B81060)",6160,82.8%,16414,519,16691,98.3%,3.2%,3.1%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81061,The Ridings Medical Group (B81061),45258,70.3%,71028,608,84912,83.6%,0.9%,0.7%
North East and Yorkshire,03K,North Lincolnshire,B81063,Bridge Street Surgery (B81063),6927,52.4%,9362,8,16191,57.8%,0.1%,0.0%
North East and Yorkshire,03K,North Lincolnshire,B81064,Church Lane Medical Centre (B81064),9549,77.1%,18967,1066,19453,97.5%,5.6%,5.5%
North East and Yorkshire,03K,North Lincolnshire,B81065,Trent View Medical Practice (B81065),11360,44.5%,0,0,25799,0.0%,,0.0%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81068,Bartholomew Medical Group (B81068),17456,78.1%,36185,1451,36397,99.4%,4.0%,4.0%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81069,"Practice 3, Medical Centre, Bridlington (B81069)",10404,82.8%,27601,1001,27721,99.6%,3.6%,3.6%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81070,Practice One (B81070),6068,84.9%,14517,43,14573,99.6%,0.3%,0.3%
North East and Yorkshire,03F,Hull,B81074,City Health Practice Ltd (B81074),6423,79.0%,12934,6738,12935,100.0%,52.1%,52.1%
North East and Yorkshire,03F,Hull,B81075,Hastings Medical Centre (B81075),3511,79.5%,6845,714,7134,95.9%,10.4%,10.0%
North East and Yorkshire,03H,North East Lincolnshire,B81077,Woodford Medical Practice (B81077),9758,75.1%,14744,3794,15677,94.0%,25.7%,24.2%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81082,North Beverley Medical Centre (B81082),6633,80.0%,7572,149,7749,97.7%,2.0%,1.9%
North East and Yorkshire,03F,Hull,B81085,Burnbrae Medical Practice (B81085),5011,78.8%,9587,1559,9701,98.8%,16.3%,16.1%
North East and Yorkshire,03H,North East Lincolnshire,B81087,Birkwood Medical Centre (B81087),8195,79.2%,16848,4090,17637,95.5%,24.3%,23.2%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81088,Howden Medical Practice (B81088),7767,84.2%,14996,712,15067,99.5%,4.7%,4.7%
North East and Yorkshire,03K,North Lincolnshire,B81090,The Oswald Road Medical Surgery (B81090),4527,75.7%,10199,496,10256,99.4%,4.9%,4.8%
North East and Yorkshire,03H,North East Lincolnshire,B81091,Littlefield Surgery (B81091),5399,69.7%,4976,4,5909,84.2%,0.1%,0.1%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81092,"The Medical Centre, Driffield (B81092)",11513,48.0%,13059,5,23906,54.6%,0.0%,0.0%
North East and Yorkshire,03F,Hull,B81095,Chp Ltd - Field View (B81095),4064,79.6%,8869,425,8952,99.1%,4.8%,4.7%
North East and Yorkshire,03F,Hull,B81097,Delta Healthcare (B81097),2795,76.6%,4073,316,4087,99.7%,7.8%,7.7%
North East and Yorkshire,03K,North Lincolnshire,B81099,The Kirton Lindsey And Scotter Surgery (B81099),10548,32.7%,0,0,23627,0.0%,,0.0%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81100,Dr Ac Milner (B81100),3986,89.6%,8776,2088,8816,99.5%,23.8%,23.7%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81101,Greengates Medical Group (B81101),22362,81.5%,37300,1844,38698,96.4%,4.9%,4.8%
North East and Yorkshire,03F,Hull,B81104,Campus Health Centre (B81104),7901,49.1%,4145,0,4190,98.9%,0.0%,0.0%
North East and Yorkshire,03H,North East Lincolnshire,B81108,Dr A Sinha (B81108),4599,84.0%,8676,30,8695,99.8%,0.3%,0.3%
North East and Yorkshire,03K,North Lincolnshire,B81109,Riverside Surgery (B81109),12408,71.1%,23249,8,34195,68.0%,0.0%,0.0%
North East and Yorkshire,03F,Hull,B81112,James Alexander Family Practice (B81112),8760,77.5%,19459,15616,19511,99.7%,80.3%,80.0%
North East and Yorkshire,03K,North Lincolnshire,B81113,Cedar Medical Practice (B81113),8453,77.2%,18076,8,18408,98.2%,0.0%,0.0%
North East and Yorkshire,03K,North Lincolnshire,B81118,West Common Lane Teaching Practice (B81118),8016,73.7%,13035,4387,13658,95.4%,33.7%,32.1%
North East and Yorkshire,03F,Hull,B81119,Goodheart Surgery (B81119),6546,78.6%,11311,4118,11407,99.2%,36.4%,36.1%
North East and Yorkshire,03H,North East Lincolnshire,B81603,Roxton At Weelsby View (B81603),7,0.0%,0,0,23,0.0%,,0.0%
North East and Yorkshire,03H,North East Lincolnshire,B81606,Stirling Medical Centre (Mathews) (B81606),4371,84.3%,7592,16,7649,99.3%,0.2%,0.2%
North East and Yorkshire,03F,Hull,B81616,Dr Gt Hendow'S Practice (B81616),2741,76.9%,4601,0,5157,89.2%,0.0%,0.0%
North East and Yorkshire,03K,North Lincolnshire,B81617,The Birches Medical Practice (B81617),9409,63.5%,15564,45,15646,99.5%,0.3%,0.3%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81619,Park View Surgery (B81619),3340,84.0%,5675,905,5681,99.9%,15.9%,15.9%
North East and Yorkshire,03K,North Lincolnshire,B81628,Barnetby Medical Centre (B81628),2980,15.0%,0,0,9182,0.0%,,0.0%
North East and Yorkshire,03F,Hull,B81631,Drs Raut And Thoufeeq (B81631),4609,76.9%,8494,74,9130,93.0%,0.9%,0.8%
North East and Yorkshire,03F,Hull,B81635,Laurbel Surgery (B81635),3472,79.3%,6898,181,7010,98.4%,2.6%,2.6%
North East and Yorkshire,03H,North East Lincolnshire,B81642,Dr Oz Qureshi (B81642),4307,85.8%,9440,78,9506,99.3%,0.8%,0.8%
North East and Yorkshire,03F,Hull,B81645,East Park Practice (B81645),4183,80.7%,7964,2430,7964,100.0%,30.5%,30.5%
North East and Yorkshire,03K,North Lincolnshire,B81647,West Town Surgery (B81647),3089,66.4%,4706,0,6231,75.5%,0.0%,0.0%
North East and Yorkshire,03K,North Lincolnshire,B81648,The Killingholme Surgery (B81648),1528,29.7%,0,0,4298,0.0%,,0.0%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81653,King Street Medical Centre (B81653),7512,81.0%,12150,825,12333,98.5%,6.8%,6.7%
North East and Yorkshire,03H,North East Lincolnshire,B81655,Greenlands Surgery (B81655),3064,81.6%,3480,0,3525,98.7%,0.0%,0.0%
North East and Yorkshire,03H,North East Lincolnshire,B81656,Raj Medical Centre (B81656),6723,74.6%,10191,85,10490,97.1%,0.8%,0.8%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81658,Peeler House Surgery (B81658),,,10,1,10,100.0%,10.0%,10.0%
North East and Yorkshire,03H,North East Lincolnshire,B81663,Core Care Family Practice (B81663),2660,82.0%,4958,300,4961,99.9%,6.1%,6.0%
North East and Yorkshire,03H,North East Lincolnshire,B81664,Humberview Surgery (B81664),6,16.7%,198,18,200,99.0%,9.1%,9.0%
North East and Yorkshire,03H,North East Lincolnshire,B81665,Healing Partnership (B81665),2400,77.0%,2891,0,2898,99.8%,0.0%,0.0%
North East and Yorkshire,02Y,East Riding of Yorkshire,B81666,Dr Mitchell (B81666),2092,81.1%,2797,1792,2823,99.1%,64.1%,63.5%
North East and Yorkshire,03F,Hull,B81675,Haxby Group Calvert & Newington (B81675),13369,68.3%,20493,5400,20646,99.3%,26.4%,26.2%
North East and Yorkshire,03H,North East Lincolnshire,B81697,Dr P Suresh Babu (B81697),2784,92.3%,4963,10,4992,99.4%,0.2%,0.2%
North East and Yorkshire,03Q,Vale of York,B82002,Millfield Surgery (B82002),7445,57.3%,9477,11,12846,73.8%,0.1%,0.1%
North East and Yorkshire,42D,North Yorkshire,B82004,Nidderdale Group Practice (B82004),10896,16.7%,4954,0,19791,25.0%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82005,Priory Medical Group (B82005),57672,86.0%,78011,10883,78367,99.5%,14.0%,13.9%
North East and Yorkshire,36J,Bradford District & Craven,B82007,Townhead Surgery (B82007),9557,35.5%,0,0,19497,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82008,North House Surgery (B82008),8538,53.2%,13415,16,16865,79.5%,0.1%,0.1%
North East and Yorkshire,42D,North Yorkshire,B82010,Ripon Spa Surgery (B82010),7936,61.2%,10613,0,13328,79.6%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82011,Sherburn Surgery (B82011),5645,15.3%,1538,0,18178,8.5%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82012,The Leeds Road Practice (B82012),14778,66.9%,18844,1089,24532,76.8%,5.8%,4.4%
North East and Yorkshire,42D,North Yorkshire,B82013,The Moss Practice (B82013),19725,77.5%,28424,312,28620,99.3%,1.1%,1.1%
North East and Yorkshire,42D,North Yorkshire,B82014,Kingswood Surgery (B82014),6740,75.9%,10538,99,11006,95.7%,0.9%,0.9%
North East and Yorkshire,42D,North Yorkshire,B82016,East Parade Surgery (B82016),8058,84.0%,8941,1,8987,99.5%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82017,Whitby Group Practice (B82017),13555,70.6%,26505,4673,31467,84.2%,17.6%,14.9%
North East and Yorkshire,03Q,Vale of York,B82018,Escrick Surgery (B82018),6318,22.6%,0,0,10121,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82019,Topcliffe Surgery (B82019),3779,19.6%,1356,148,5794,23.4%,10.9%,2.6%
North East and Yorkshire,03Q,Vale of York,B82021,Dalton Terrace Surgery (B82021),9102,73.2%,10907,1780,11086,98.4%,16.3%,16.1%
North East and Yorkshire,42D,North Yorkshire,B82022,Great Ayton Surgery (B82022),5666,85.1%,11544,50,11647,99.1%,0.4%,0.4%
North East and Yorkshire,42D,North Yorkshire,B82023,Catterick Village Surgery (B82023),6408,83.1%,13792,967,13920,99.1%,7.0%,6.9%
North East and Yorkshire,42D,North Yorkshire,B82024,Eastfield Medical Centre (B82024),8969,96.8%,19485,1124,19575,99.5%,5.8%,5.7%
North East and Yorkshire,42D,North Yorkshire,B82025,Derwent Practice (B82025),21031,78.4%,35024,2,43709,80.1%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82026,Haxby Group Practice (B82026),33427,76.9%,65320,4755,65653,99.5%,7.3%,7.2%
North East and Yorkshire,42D,North Yorkshire,B82027,The Spa Surgery (B82027),14673,79.8%,20426,0,20495,99.7%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82029,Doctors Lane Surgery (B82029),3208,15.6%,0,0,6730,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82030,Dr Akester & Partners (B82030),5941,38.3%,5770,6,16553,34.9%,0.1%,0.0%
North East and Yorkshire,03Q,Vale of York,B82031,Sherburn Group Practice (B82031),10767,55.1%,10362,706,16527,62.7%,6.8%,4.3%
North East and Yorkshire,42D,North Yorkshire,B82032,Church Lane Surgery (B82032),11638,42.0%,11937,33,21302,56.0%,0.3%,0.2%
North East and Yorkshire,03Q,Vale of York,B82033,Pickering Medical Practice (B82033),10844,69.4%,16634,473,24172,68.8%,2.8%,2.0%
North East and Yorkshire,42D,North Yorkshire,B82034,Quakers Lane Surgery (B82034),6260,68.2%,10016,72,13042,76.8%,0.7%,0.6%
North East and Yorkshire,42D,North Yorkshire,B82035,Scorton Medical Centre (B82035),3573,13.5%,853,0,6686,12.8%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82036,Dr Ingram & Ptrs (B82036),7606,62.2%,12890,0,15219,84.7%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82037,Filey Surgery (B82037),8993,77.5%,22821,976,25328,90.1%,4.3%,3.9%
North East and Yorkshire,42D,North Yorkshire,B82038,Central Healthcare (B82038),26572,76.4%,48807,8560,48927,99.8%,17.5%,17.5%
North East and Yorkshire,03Q,Vale of York,B82041,Beech Tree Surgery (B82041),16237,62.7%,24525,48,31455,78.0%,0.2%,0.2%
North East and Yorkshire,42D,North Yorkshire,B82042,Lambert Medical Centre (B82042),8531,57.0%,12844,979,23770,54.0%,7.6%,4.1%
North East and Yorkshire,42D,North Yorkshire,B82044,Stokesley Surgery (B82044),9225,83.9%,11422,105,11549,98.9%,0.9%,0.9%
North East and Yorkshire,42D,North Yorkshire,B82045,Central Dales Practice (B82045),4232,29.0%,2568,0,9092,28.2%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82046,Staithes Surgery (B82046),3128,36.4%,1811,244,8410,21.5%,13.5%,2.9%
North East and Yorkshire,03Q,Vale of York,B82047,Unity Health (B82047),20911,49.8%,8646,214,8697,99.4%,2.5%,2.5%
North East and Yorkshire,42D,North Yorkshire,B82049,Thirsk Doctors Surgery (B82049),7606,58.5%,10737,1,15044,71.4%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82050,Mowbray House Surgery (B82050),20906,47.8%,26903,435,41643,64.6%,1.6%,1.0%
North East and Yorkshire,36J,Bradford District & Craven,B82053,Dyneley House Surgery (B82053),14062,78.6%,23510,2,23584,99.7%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82054,Scarborough Medical Group (B82054),15073,82.6%,29350,848,32878,89.3%,2.9%,2.6%
North East and Yorkshire,42D,North Yorkshire,B82057,Springbank Surgery (B82057),6960,3.5%,248,0,11330,2.2%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82059,Church Avenue Medical Group (B82059),10932,91.2%,16863,153,16894,99.8%,0.9%,0.9%
North East and Yorkshire,42D,North Yorkshire,B82060,Eastgate Medical Group (B82060),12749,80.6%,22565,61,22717,99.3%,0.3%,0.3%
North West,01K,Morecambe Bay,B82061,Bentham Medical Practice (B82061),7352,58.9%,10767,1175,15071,71.4%,10.9%,7.8%
North East and Yorkshire,42D,North Yorkshire,B82062,Egton Surgery (B82062),2634,33.8%,1717,3,5647,30.4%,0.2%,0.1%
North East and Yorkshire,42D,North Yorkshire,B82063,Ayton And Snainton Medical Practice (B82063),9267,44.1%,12680,1976,25301,50.1%,15.6%,7.8%
North East and Yorkshire,03Q,Vale of York,B82064,Tollerton Surgery (B82064),3455,6.7%,0,0,9289,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82066,Glebe House Surgery (B82066),9608,89.5%,17813,1142,17964,99.2%,6.4%,6.4%
North East and Yorkshire,42D,North Yorkshire,B82067,Stockwell Road Surgery (B82067),7907,82.1%,11021,8,11107,99.2%,0.1%,0.1%
North East and Yorkshire,03Q,Vale of York,B82068,Helmsley Surgery (B82068),3634,16.3%,0,0,11255,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82069,Beech House Surgery (B82069),7351,69.6%,11052,254,14185,77.9%,2.3%,1.8%
North East and Yorkshire,03Q,Vale of York,B82071,The Old School Medical Practice (B82071),7523,68.9%,10772,928,12728,84.6%,8.6%,7.3%
North East and Yorkshire,42D,North Yorkshire,B82072,The Friary Surgery (B82072),5361,63.9%,7174,102,9646,74.4%,1.4%,1.1%
North East and Yorkshire,03Q,Vale of York,B82073,South Milford Surgery (B82073),10325,53.7%,13509,0,22771,59.3%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82074,Posterngate Surgery (B82074),18370,76.1%,27252,0,27477,99.2%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82075,Mayford House Surgery (B82075),9653,58.7%,14376,2650,18948,75.9%,18.4%,14.0%
North East and Yorkshire,03Q,Vale of York,B82077,Kirkbymoorside Surgery (B82077),6080,89.2%,10087,5,10224,98.7%,0.0%,0.0%
North East and Yorkshire,42D,North Yorkshire,B82078,Leyburn Medical Practice (B82078),6140,37.1%,6262,407,12891,48.6%,6.5%,3.2%
North East and Yorkshire,03Q,Vale of York,B82079,Stillington Surgery (B82079),3657,20.0%,0,0,6899,0.0%,,0.0%
North East and Yorkshire,03Q,Vale of York,B82080,My Health Group (B82080),19164,65.4%,25661,460,32089,80.0%,1.8%,1.4%
North East and Yorkshire,03Q,Vale of York,B82081,Elvington Medical Practice (B82081),7132,13.9%,0,0,14193,0.0%,,0.0%
North East and Yorkshire,03Q,Vale of York,B82083,York Medical Group (B82083),44762,70.6%,59516,4618,59597,99.9%,7.8%,7.7%
North East and Yorkshire,42D,North Yorkshire,B82086,The Danby Practice (B82086),2459,19.8%,650,4,5880,11.1%,0.6%,0.1%
North East and Yorkshire,42D,North Yorkshire,B82088,Brook Square Surgery (B82088),10562,79.1%,17959,789,17989,99.8%,4.4%,4.4%
North East and Yorkshire,42D,North Yorkshire,B82091,Park Parade Surgery (B82091),7812,92.7%,8824,0,8907,99.1%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82097,Scott Road Medical Centre (B82097),11166,87.3%,14056,54,14212,98.9%,0.4%,0.4%
North East and Yorkshire,03Q,Vale of York,B82098,Jorvik Gillygate Practice (B82098),24780,69.4%,22750,11,23026,98.8%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82100,Front Street Surgery (B82100),7973,84.4%,12029,60,12090,99.5%,0.5%,0.5%
North East and Yorkshire,42D,North Yorkshire,B82101,Sleights And Sandsend Medical Practice (B82101),5235,43.1%,4457,294,12306,36.2%,6.6%,2.4%
North East and Yorkshire,42D,North Yorkshire,B82104,Harewood Medical Practice (B82104),7892,89.4%,9821,211,9867,99.5%,2.1%,2.1%
North East and Yorkshire,03Q,Vale of York,B82105,Tadcaster Medical Centre (B82105),9108,58.6%,12603,378,17032,74.0%,3.0%,2.2%
North East and Yorkshire,42D,North Yorkshire,B82106,Hackness Road Surgery (B82106),4300,73.4%,7845,412,9120,86.0%,5.3%,4.5%
North East and Yorkshire,42D,North Yorkshire,B82609,Ampleforth Surgery (B82609),3981,6.8%,287,0,8461,3.4%,0.0%,0.0%
North East and Yorkshire,03Q,Vale of York,B82619,Terrington Surgery (B82619),1571,34.6%,0,0,2783,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82622,Reeth Medical Centre (B82622),1592,14.8%,0,0,4519,0.0%,,0.0%
North East and Yorkshire,42D,North Yorkshire,B82628,Hunmanby Surgery (B82628),4076,97.9%,11044,401,11066,99.8%,3.6%,3.6%
North East and Yorkshire,36J,Bradford District & Craven,B83002,Ilkley & Wharfedale Medical Practice (B83002),5303,86.1%,6232,146,6292,99.0%,2.3%,2.3%
North East and Yorkshire,36J,Bradford District & Craven,B83005,Thornbury Medical Practice (B83005),6910,79.3%,9626,33,9706,99.2%,0.3%,0.3%
North East and Yorkshire,36J,Bradford District & Craven,B83008,Ling House Medical Centre (B83008),19603,80.6%,28267,243,28468,99.3%,0.9%,0.9%
North East and Yorkshire,36J,Bradford District & Craven,B83009,Sunnybank & Cowgill Medical Practice (B83009),15390,85.3%,28497,14843,28504,100.0%,52.1%,52.1%
North East and Yorkshire,36J,Bradford District & Craven,B83010,Parklands Medical Practice (B83010),10088,75.3%,18956,1941,19141,99.0%,10.2%,10.1%
North East and Yorkshire,36J,Bradford District & Craven,B83012,Manor Medical Practice (B83012),10877,80.6%,16549,1282,16847,98.2%,7.7%,7.6%
North East and Yorkshire,36J,Bradford District & Craven,B83014,Bingley Medical Practice (B83014),13329,85.2%,16543,494,16761,98.7%,3.0%,2.9%
North East and Yorkshire,36J,Bradford District & Craven,B83015,Tong Medical Practice (B83015),8621,79.6%,11821,50,11956,98.9%,0.4%,0.4%
North East and Yorkshire,36J,Bradford District & Craven,B83016,Farrow Medical Centre (B83016),8104,82.0%,14848,3446,15109,98.3%,23.2%,22.8%
North East and Yorkshire,36J,Bradford District & Craven,B83017,Horton Bank Practice (B83017),7960,85.8%,12158,489,12341,98.5%,4.0%,4.0%
North East and Yorkshire,36J,Bradford District & Craven,B83018,Idle Medical Centre (B83018),12363,81.1%,20223,6960,20390,99.2%,34.4%,34.1%
North East and Yorkshire,36J,Bradford District & Craven,B83019,Grange Park Surgery (B83019),6923,82.3%,8959,1217,10002,89.6%,13.6%,12.2%
North East and Yorkshire,36J,Bradford District & Craven,B83020,The Willows Medical Practice (B83020),17942,89.5%,18980,10060,18982,100.0%,53.0%,53.0%
North East and Yorkshire,36J,Bradford District & Craven,B83022,Baildon Medical Practice (B83022),9368,88.1%,11765,27,11989,98.1%,0.2%,0.2%
North East and Yorkshire,36J,Bradford District & Craven,B83025,Little Horton Lane Medical Centre - Raja (B83025),4312,81.4%,6405,101,6485,98.8%,1.6%,1.6%
North East and Yorkshire,36J,Bradford District & Craven,B83026,Primrose Surgery (B83026),5579,77.9%,8547,133,8580,99.6%,1.6%,1.6%
North East and Yorkshire,36J,Bradford District & Craven,B83028,Wibsey & Queensbury Med P (B83028),10907,80.5%,17875,1190,21608,82.7%,6.7%,5.5%
North East and Yorkshire,36J,Bradford District & Craven,B83029,Low Moor Surgery (B83029),10262,85.3%,19445,4758,19547,99.5%,24.5%,24.3%
North East and Yorkshire,36J,Bradford District & Craven,B83030,Thornton & Denholme Medical Practice (B83030),,,18761,9048,18779,99.9%,48.2%,48.2%
North East and Yorkshire,36J,Bradford District & Craven,B83031,Oak Glen Surgery (B83031),3852,77.3%,3808,104,3833,99.3%,2.7%,2.7%
North East and Yorkshire,36J,Bradford District & Craven,B83032,Bradford Moor Practice (B83032),3807,76.8%,5204,0,5256,99.0%,0.0%,0.0%
North East and Yorkshire,36J,Bradford District & Craven,B83033,Modality Partnership (Awc) (B83033),87000,78.5%,146061,9510,148678,98.2%,6.5%,6.4%
North East and Yorkshire,36J,Bradford District & Craven,B83034,Grange Medical Centre (B83034),7032,82.0%,11219,139,11321,99.1%,1.2%,1.2%
North East and Yorkshire,36J,Bradford District & Craven,B83035,Horton Park Medical Practice (B83035),10559,78.1%,16578,2247,16625,99.7%,13.6%,13.5%
North East and Yorkshire,36J,Bradford District & Craven,B83037,The Wilsden Medical Practice (B83037),10136,84.6%,16288,3,17517,93.0%,0.0%,0.0%
North East and Yorkshire,36J,Bradford District & Craven,B83038,Leylands Lane Medical Practice (B83038),18568,78.5%,25385,3245,25544,99.4%,12.8%,12.7%
North East and Yorkshire,36J,Bradford District & Craven,B83039,The Saltaire & Windhill Medical P'Ship (B83039),24077,83.2%,43177,12563,43422,99.4%,29.1%,28.9%
North East and Yorkshire,36J,Bradford District & Craven,B83041,Bowling Hall Med Practice (B83041),14437,79.0%,21865,13,22046,99.2%,0.1%,0.1%
North East and Yorkshire,36J,Bradford District & Craven,B83042,Rooley Lane Med. Centre (B83042),8166,82.8%,14207,686,14318,99.2%,4.8%,4.8%
North East and Yorkshire,36J,Bradford District & Craven,B83045,Hollyns Health & Wellbeing - Clayton (B83045),13025,82.3%,21773,1439,21871,99.6%,6.6%,6.6%
North East and Yorkshire,36J,Bradford District & Craven,B83051,Bradford Student Health Service (B83051),10962,32.3%,1679,10,1688,99.5%,0.6%,0.6%
North East and Yorkshire,36J,Bradford District & Craven,B83052,Kensington Partnership (B83052),23954,79.0%,35391,950,35460,99.8%,2.7%,2.7%
North East and Yorkshire,36J,Bradford District & Craven,B83054,Haigh Hall Medical Practice (B83054),6194,86.0%,13382,4815,13565,98.7%,36.0%,35.5%
North East and Yorkshire,36J,Bradford District & Craven,B83055,The Ridge Medical Pract. (B83055),23748,78.4%,36026,7977,36260,99.4%,22.1%,22.0%
North East and Yorkshire,36J,Bradford District & Craven,B83056,Moorside Surgery (B83056),7999,81.0%,19515,7650,19786,98.6%,39.2%,38.7%
North East and Yorkshire,36J,Bradford District & Craven,B83058,The Avicenna Medical Practice (B83058),8274,72.4%,9964,213,10511,94.8%,2.1%,2.0%
North East and Yorkshire,36J,Bradford District & Craven,B83062,Ashcroft Surgery (B83062),8618,78.6%,15173,2406,15335,98.9%,15.9%,15.7%
North East and Yorkshire,36J,Bradford District & Craven,B83063,Shipley Medical Practice-Affinity Care (B83063),20162,79.1%,34412,9532,50142,68.6%,27.7%,19.0%
North East and Yorkshire,36J,Bradford District & Craven,B83064,The Rockwell And Wrose Practice (B83064),11005,70.5%,16246,5084,16516,98.4%,31.3%,30.8%
North East and Yorkshire,36J,Bradford District & Craven,B83067,The Springfield Surgery (Bingley) (B83067),7683,76.1%,8871,244,9083,97.7%,2.8%,2.7%
North East and Yorkshire,36J,Bradford District & Craven,B83604,The Lister Surgery (B83604),3845,82.1%,5338,1129,5363,99.5%,21.2%,21.1%
North East and Yorkshire,36J,Bradford District & Craven,B83611,New Otley Road Medical Practice (B83611),10683,74.4%,13632,514,13665,99.8%,3.8%,3.8%
North East and Yorkshire,36J,Bradford District & Craven,B83614,Picton Medical Centre (B83614),9582,93.9%,9477,3090,9510,99.7%,32.6%,32.5%
North East and Yorkshire,36J,Bradford District & Craven,B83617,Dr U Akbar (B83617),,,14,1,14,100.0%,7.1%,7.1%
North East and Yorkshire,36J,Bradford District & Craven,B83620,Addingham Surgery (B83620),3276,80.0%,6368,201,6515,97.7%,3.2%,3.1%
North East and Yorkshire,36J,Bradford District & Craven,B83621,Dr A Azam & Partners (B83621),4298,74.5%,7207,1629,7226,99.7%,22.6%,22.5%
North East and Yorkshire,36J,Bradford District & Craven,B83622,Dr Ia Gilkar & Partners (B83622),4698,78.4%,8530,515,8651,98.6%,6.0%,6.0%
North East and Yorkshire,36J,Bradford District & Craven,B83624,I G Medical (B83624),17716,87.1%,26489,1014,26557,99.7%,3.8%,3.8%
